Name,Location,Size,Sector,Breakdown,Established
1Qbit ,"Vancouver, British Colombia",200+,Software,Details,2012
AbaQus,"Vancouver, British Colombia",Under 50,Software,Details,2021
Accenture Quantum,Multinational,200+,Software,Details,2017
Agnostiq,"Toronto, Canada",Start-Up,Software,Details,2018
Airbus,"Virginia, United States",50-200,Software,Details,1970
AlgorithmIQ,"Helsinki, Finland",Under 50,Software,Details,2021
Alibaba Group,,50-200,,,
Alice & Bob,"Paris, France",Under 50,Hardware,Details,2020
Aliro Quantum,"Massachusetes, United States",Under 50,Other,Details ,2019
Alpine Quantum Technologies,"Innsbruk, Austria",Under 50,Hardware,Details,2018
Anyon Systems,"Dorval, Quebeck",Under 50,Hardware,Details,2014
Atlantic Quantum,"Massachusetes, United States",Under 50,Hardware,Details,2022
Atom Computing,"California, United States",50-200,Hardware,Details,2018
Atos Quantum,"California, United States",200+,Other,Details,2017
AWS Bracket,,,,,
Beit,"Krakow, Poland",Under 50,Software,Details,2016
Boxcat,"Toronto, Canada",Start-Up,Software,Details,2017
BosonQ Psi,"New York, United States",Under 50,Software,Details,2020
C12 Quantum Electronics,"Paris, France",Under 50,Hardware,Details,2020
ClassiQ,"Tel Aviv, Isreal",50-200,Software,Details,2020
CogniFrame Inc,"Toronto, Ontario, Canada",Start-Up,Software,Details,2016
D-Wave,"Burnaby, British Columbia, Canada",50-200,Full-Stack,Details,1999
Diraq,"Sydney, Australia",Under 50,Hardware,Details,2022
Eeroq,"Chicago, IL, USA",Under 50,Hardware,Details,2016
EleQtron,"Siegen, Germany",Under 50,Hardware,Details,2020
Entropica Labs,Singapore,Under 50,Software,Details,2018
Fujitsu,Japan,"124,000",Hardware,Details,1935
Google Quantum AI,"United States, Austrailia, Germany",200+,Full-Stack,Details,2013
Hitachi,,,,,
Horizon Quantum Computing,Singapore,Under 50,Software,Details,2018
HQS Quantum Simulations,"Baden-Württemberg, Germany",Under 50,Software,Details,2017
HRL Laboratories,"Malibu, California, USA",200+,,Details,1997
IBM Quantum,"New York, United States",200+,Full-Stack,Details,2016
ID Quantique,"Geneva, Switzerland",50-200,Other,Details,2001
Infineon Technologies,"Neubiberg, München, Germany","58,600",Hardware,Details,1999
Infleqtion,"Texas, United States",200+,Software,Details,2007
Intel,,,,,
IonQ,"Maryland, USA",200+,Hardware,Details,2015
IQM,,,,,
JIJ,"Bunkyo City, Japan",Under 50,Software,Details,2018
KEEQuant,,,,,
Kipu Quantum,"Karlsruhe, Germnay",Under 50,Software,Details,2021
Kuano,"London, Britain",Under 50,Other,Details,2020
Lockheed Martin,,,,,
Microsoft,,,,,
Multiverse Computing,"Gipuzkoa, Spain",50-200,Software,Details,2019
Nanoacademic Technologies Inc.,,,,,
NEC Corporation,"Tokyo, Japan","118,000",Full-Stack,Details,1899
Next Generation Quantum,"New York, USA",Start-Up,Hardware,Details,2019
Nokia Bell Labs,"New Jersey, USA",200+,Hardware,Details,1925
Nord Quantique,,,,,
NTT Laboratories,"Palo Alto, CA, USA",200+,Full-Stack,Details,2023
Nu Quantum,"Cambridge, England",Under 50,Hardware,Details,2018
Orca Computing,"London, England",Under 50,Full-Stack,Details,2019
Origin Quantum,,,,,
Oxford ionics,"Munich, Bavaria, Germany",Under 50,Hardware,,
Oxford Quantum Circuits,"Reading, England",50-200,Hardware,Details,2017
ParityQC,,,,,
Pasqal,"Massy, France",200+,Full-Stack,Details,2019
Phasecraft,"Bristol, England",Under 50,Other,Details,2019
Photonic INC.,"Coquitlam, Canada",50-200,Hardware,Details ,2016
PlanQC,"Munich, Bavaria, Germany",Under 50,Hardware,Details,2022
PolarisQB,"North Carolina, United States",Under 50,Software,Details,2020
ProtienQure,"Toronto, Canada",Under 50,Software,Details ,2017
PsiQuantum,"California, United States",200+,Hardware,Details,2015
Q-Ctrl,,,,,
Q. BPO Consulting,,,,,
Q.ANT,,,,,
QC Ware,,,,,
Qilimanjaro Quantum Tech,"Barcelona, Spain",Under 50,Software,Details,2019
QNu Labs,,,,,
QpiAI,,,,,
QRCrypto SA,,,,,
QRDLab,,,,,
Qrypt,,,,,
Qu & Co,,,,,
Quandela,,,,,
Quantagonia,,,,,
Quantastica,,,,,
Quantinuum,,,,,
Quantized Technologies Inc.,,,,,
Quantrol Ox,"Espoo, Finland",Under 50,Software,Details,2013
Quantum Brilliance,,,,,
Quantum Circuits INC.,,,,,
Quantum Computing INC.,,,,,
Quantum Generative Materials,,,,,
Quantum Machines,"Telaviv, Isreal",50-200,Full-Stack,Details,2018
Quantum Motion,,,,,
Quantware,"Delft, Netherlands",Under 50,Hardware,Details,2020
Qubit Pharmaceutical,,,,,
Qubrid,,,,,
QuDoor,,,,,
QuEra Computing,,,,,
Qulabs.ai,,,,,
Qunatum Benchmark,,,,,
Qunatum Source,,,,,
Qunnect Inc,,,,,
Raytheon/BBN[,,,,,
Rigetti,"Berkeley, California",50-200,Full-Stack,Details ,2013
Riverlane,,,,,
SandBoxAQ,"Palo Alto, California",,,,
SaxonQ,,,,,
SeeQC,,,,,
Silicone Quantum Computing,,,,,
StrangeWorks,,,,,
Terra Quantum,,,,,
ThinkQuantum,,,,,
Toshiba,,,,,
TuringQ,,,,,
Turkcell,,,,,
Universal Quantum,,,,,
Xanadu,"Toronto, Canada",50-200,Software,Details,2016
Zapata AI,"Massachustes, United States",50-200,Software,Details,2015
Mila,,,,,